cue,count S,count Q
bg,3380,3380
#L,2179,1941
L#,1937,1538
H#,1137,1640
#LH,1098,1030
LL#,924,448
#H,867,1315
LH#,750,771
#LL,733,657
HL#,515,811
#LHL,495,484
#HL,392,623
#LLH,368,241
LLL#,320,131
LHL#,313,318
LLH#,298,236
#LHH,291,348
#HH,277,491
HLL#,233,211
HH#,204,531
HLH#,203,248
#LLL,163,200
#LHLH,157,156
#LHLL,153,156
#LLHL,146,71
#HLH,145,182
#HHL,128,279
LHLL#,125,48
#LHHL,124,157
LHH#,118,279
LLHL#,111,63
LHLH#,110,106
#HLL,104,220
LLLH#,94,54
LLLL#,93,18
#LLHH,86,73
HLLL#,79,57
HLLH#,72,85
#LLLH,69,37
#HLHL,68,88
HLHL#,60,93
HHL#,58,303
#HHH,47,107
#LHHH,42,54
LLHH#,41,82
LHHL#,40,128
empty,35,7
#HHLH,35,39
#HLLH,33,42
#HHLL,28,120
HHH#,28,150
#HLLL,27,54
HLHH#,27,61
HHLH#,24,56
HHLL#,23,103
#HHHL,19,74
#LLLL,17,71
#HLHH,15,27
LHHH#,13,74
#HHHH,6,20
HHHL#,4,82
HHHH#,4,33
