"","question","statement"
"#H",0.189284040173736,-0.189284039995989
"#HH",0.0469964867851074,-0.0469964870360822
"#HHH",-0.181467310737989,0.181467313439769
"bg",0.180028019598929,0.819971980143282
"HL#",0.167586373883454,-0.167586373889136
"L#",-0.0282969484861123,0.028296948571946
"#L",0.0850049933000645,-0.085004993137765
"#LH",-0.070898383902634,0.07089838395065
"#LHH",0.0911052899089516,-0.091105289928313
"#LHHL",0.0659363403467997,-0.0659363403633945
"#HL",0.0674011477392607,-0.0674011477942915
"#HLH",-0.0131013453351358,0.0131013453723224
"#HLHL",0.0720590227707345,-0.0720590227896046
"H#",0.204868989180371,-0.204868989097835
"LL#",-0.155525543874165,0.155525543869928
"#HHL",-0.00479858569133527,0.00479858580588799
"#HHLL",0.26433115179739,-0.264331151715642
"LH#",-0.135617259662759,0.135617259698448
"LLH#",-0.0604576271764234,0.0604576272156314
"#LL",0.0630261752054866,-0.0630261752144372
"#LLH",-0.100205246739142,0.1002052467585
"LLL#",0.0175563081878955,-0.017556308225468
"LLLL#",-0.0678089190010947,0.0678089190492413
"#LHL",0.133028886690025,-0.133028886685292
"#HLL",0.136575677326585,-0.136575677283871
"HHL#",0.280321825635828,-0.280321825522753
"LHHL#",-0.0894089897357341,0.0894089897476323
"#HLLL",0.0101407389017393,-0.0101407389371275
"LHL#",-0.0317158174621165,0.031715817520987
"LLHL#",-0.0609284703010555,0.0609284703167057
"#LHLH",0.00183008110484228,-0.00183008109004122
"HHLL#",0.45847352409099,-0.458473524045908
"HLL#",0.140633169333768,-0.140633169352719
"#LLHH",0.138269372160789,-0.138269372173706
"HH#",0.0507677505294294,-0.0507677503749111
"LHH#",0.0448700213221918,-0.044870021533385
"LLHH#",-0.0637293246253615,0.0637293246640753
"#LHLL",-0.0581048130579352,0.0581048130895047
"HHH#",0.0971744456045815,-0.0971744480227739
"LLLH#",-0.190088951364467,0.19008895133998
"HHLH#",0.12555174636725,-0.125551746403994
"HLH#",0.0184459844104783,-0.0184459844014942
"LHLL#",-0.0786907853413666,0.0786907852845392
"LHLH#",-0.139425749403666,0.139425749361823
"#LLL",0.104866418753544,-0.10486641870516
"#LLLL",0.0842434377377858,-0.0842434379079438
"#HHHL",0.33789969984101,-0.33789970286056
"HLLH#",0.0612827982375055,-0.0612827982600601
"#LHHH",0.0729966775825089,-0.0729966775885596
"#LLLH",-0.175561349920763,0.175561349895405
"HLLL#",0.0941592179646716,-0.0941592179647545
"#HHHH",0.185286301449737,-0.185286306387077
"HHHH#",0.137819896235123,-0.137819892315925
"HLHL#",0.142936473392804,-0.142936473454931
"#LLHL",0.051810787552136,-0.0518107875283001
"#HLHH",-0.0610992765756154,0.0610992764059521
"#HLLH",-0.103485758209579,0.103485758162497
"LHHH#",0.0825903878815903,-0.0825903853481667
"HHHL#",0.132821764307525,-0.132821764370207
"HLHH#",-0.117102506669596,0.117102506702307
"#HHLH",-0.0775716980884922,0.0775716981010427
"empty",-0.224193088542291,0.224193090324691
