cue,count S,count Q,weight,weight category
bg,3380,3380,0.24,question
#L,2233,1933,0.056,question
L#,1960,1558,0.028,question
H#,1168,1659,0.192,question
#LH,1162,1075,0.017,question
LL#,969,468,0.155,statement
#H,890,1344,0.184,question
LH#,797,835,0.093,statement
#LL,769,660,0.073,question
HL#,552,816,0.134,question
#LHL,544,512,0.165,question
#HL,425,643,0.049,question
#LLH,402,245,0.127,statement
LLL#,361,121,0.024,question
LLH#,345,257,0.078,statement
LHL#,336,318,0.109,statement
#LHH,320,382,0.105,question
#HH,307,533,0.043,question
HLL#,236,234,0.087,question
HH#,213,559,0.08,question
HLH#,208,276,0.08,question
#LHLH,183,170,0.006,statement
#LLL,173,217,0.126,question
#HLH,168,230,0.024,question
#LHLL,164,154,0.003,statement
#LLHL,162,76,0.002,question
#HHL,148,297,0.039,question
LHLL#,145,55,0.09,statement
LHH#,134,282,0.029,question
#LHHL,132,166,0.109,question
LLHL#,118,87,0.069,statement
LHLH#,117,115,0.089,statement
#HLL,116,232,0.13,question
LLLH#,115,51,0.136,statement
LLLL#,110,23,0.068,statement
HLLL#,95,45,0.104,question
#LLHH,93,86,0.142,question
HLLH#,92,88,0.013,question
#HLHL,76,109,0.093,question
#LLLH,74,44,0.158,statement
HHL#,74,325,0.297,question
HLHL#,70,82,0.001,question
#HHH,60,110,0.083,statement
#LHHH,59,76,0.048,question
LHHL#,46,134,0.033,statement
LLHH#,45,93,0.014,statement
#HHLH,44,48,0.058,statement
#HLLH,37,46,0.09,statement
HLHH#,37,57,0.096,statement
#HHLL,30,139,0.279,question
#HLLL,29,56,0.0,question
#HLHH,29,40,0.063,statement
HHLH#,28,61,0.077,question
HHH#,28,157,0.078,question
#LLLL,24,74,0.089,question
empty,21,0,0.218,statement
HHLL#,20,135,0.556,question
#HHHL,19,71,0.276,question
LHHH#,12,83,0.11,question
#HHHH,9,20,0.168,question
HHHL#,5,86,0.168,question
HHHH#,4,33,0.146,question
