TQ,FQ,TS,FS
117,237,432,117
107,206,472,118
113,185,471,134
107,200,475,121
88,214,470,131
87,175,513,128
105,180,496,122
110,191,480,122
109,218,443,133
108,219,449,127
103,209,476,115
56,79,580,188
97,207,475,124
116,243,420,124
198,698,6,1
37,74,611,181
93,197,480,133
110,200,453,140
104,221,450,128
46,85,589,183
115,189,477,122
113,191,474,125
103,251,427,122
40,78,597,188
50,80,604,169
103,241,451,108
110,238,436,119
117,243,438,105
104,211,467,121
96,207,477,123
101,211,479,112
112,260,423,108
101,214,462,126
101,209,467,126
101,186,490,126
117,207,449,130
106,204,481,112
98,209,475,121
106,199,486,112
62,84,586,171
